,race_name,driverRef,driverst_points,driverst_position,driverst_wins,css_points,css_position,css_wins,constructorRef,result_grid,q1,q2,q3,driver_circuit_avg_result_point_before_race,driver_circuit_avg_pitstops_before_race,driver_avg_finish_pos_prior,is_podium,driver_podium_rate_prior,driver_avg_finish_last_3,driver_experience_races,driver_experience_at_circuit,constructor_avg_finish_prior,is_home_gp,avg_temp,avg_windspeed,avg_precip,avg_humidity
26,Saudi Arabian Grand Prix,stroll,0.0,16,0,0.0,9,0,aston_martin,13,90.256,91.009,91.009,11.0,3.0,10.85,0,0.0,12.666666666666666,20,1,9.647058823529411,0,28.65,23.7,0.0,39.0
27,Saudi Arabian Grand Prix,gasly,4.0,12,0,8.0,7,0,alphatauri,9,89.89099999999999,89.418,89.254,6.0,2.0,7.736842105263157,0,0.0526315789473684,6.0,19,1,9.076923076923077,0,28.65,23.7,0.0,39.0
28,Saudi Arabian Grand Prix,leclerc,45.0,1,1,78.0,1,1,ferrari,2,89.039,88.78,88.225,7.0,3.0,6.333333333333333,1,0.0952380952380952,7.333333333333333,21,1,5.57,0,28.65,23.7,0.0,39.0
29,Saudi Arabian Grand Prix,norris,6.0,10,0,6.0,8,0,mclaren,11,89.957,89.651,89.651,10.0,3.0,7.0,0,0.1818181818181818,9.0,22,1,8.790322580645162,0,28.65,23.7,0.0,39.0
30,Saudi Arabian Grand Prix,russell,22.0,4,0,38.0,2,0,mercedes,6,89.68,89.618,89.104,4.75,1.0,12.11111111111111,0,0.0555555555555555,14.333333333333334,18,0,4.776699029126213,0,28.65,23.7,0.0,39.0
31,Saudi Arabian Grand Prix,albon,0.0,18,0,0.0,10,0,williams,16,90.492,90.492,90.492,14.0,1.0,13.0,0,0.0,13.0,1,0,12.61111111111111,0,28.65,23.7,0.0,39.0
32,Saudi Arabian Grand Prix,zhou,1.0,14,0,9.0,6,0,alfa,12,89.97800000000001,89.819,89.819,11.5,2.0,10.0,0,0.0,10.0,1,0,12.384615384615383,0,28.65,23.7,0.0,39.0
33,Australian Grand Prix,hamilton,28.0,5,0,65.0,2,0,mercedes,5,79.401,79.106,78.825,4.0,1.0,3.0869565217391304,0,0.782608695652174,4.333333333333333,23,0,3.0869565217391304,0,17.1,15.05,0.0,85.0
34,Australian Grand Prix,alonso,2.0,14,0,22.0,5,0,alpine,10,79.19200000000001,78.815,78.815,13.5,2.25,9.047619047619047,0,0.0476190476190476,10.0,21,0,9.047619047619047,0,17.1,15.05,0.0,85.0
35,Australian Grand Prix,perez,30.0,4,0,55.0,3,1,red_bull,3,78.834,78.34,78.24,2.75,2.0,7.0,1,0.2272727272727272,7.666666666666667,22,0,7.0,0,17.1,15.05,0.0,85.0
36,Australian Grand Prix,ricciardo,8.0,11,0,24.0,4,0,mclaren,7,79.66499999999999,79.13,79.032,6.0,1.0,8.363636363636363,0,0.0454545454545454,9.666666666666666,22,0,8.363636363636363,1,17.1,15.05,0.0,85.0
