,race_name,driverRef,driverst_points,driverst_position,driverst_wins,css_points,css_position,css_wins,constructorRef,result_grid,q1,q2,q3,driver_circuit_avg_result_point_before_race,driver_circuit_avg_pitstops_before_race,driver_avg_finish_pos_prior,driver_podium_rate_prior,driver_avg_finish_last_3,driver_experience_races,driver_experience_at_circuit,constructor_avg_finish_prior,is_home_gp,avg_temp,avg_windspeed,avg_precip,avg_humidity
184,French Grand Prix,hamilton,103.0,6,0,222.0,2,2,ferrari,4,93.041,92.274,91.765,2.0,1.0,3.75,0.65625,4.0,32,1,3.75,0,32.6,14.05,0.0,34.5
185,French Grand Prix,alonso,16.0,14,0,36.0,8,0,aston_martin,7,92.819,92.631,92.552,8.0,1.0,9.137931034482758,0.0344827586206896,10.0,29,1,9.137931034482758,0,32.6,14.05,0.0,34.5
186,French Grand Prix,vettel,15.0,14,0,19.0,9,0,aston_martin,12,93.285,93.276,93.276,9.0,1.0,11.11111111111111,0.037037037037037,12.666666666666666,27,1,9.114285714285714,0,32.6,14.05,0.0,34.5
187,French Grand Prix,perez,163.0,3,1,396.0,1,8,red_bull,3,92.354,92.12,91.335,3.0,1.0,5.827586206896552,0.3793103448275862,1.6666666666666667,29,1,5.827586206896552,0,32.6,14.05,0.0,34.5
188,French Grand Prix,ricciardo,19.0,12,0,89.0,5,0,mclaren,9,93.404,92.922,92.922,6.0,1.0,9.258064516129032,0.032258064516129,11.0,31,1,9.258064516129032,0,32.6,14.05,0.0,34.5
189,French Grand Prix,bottas,46.0,9,0,51.0,6,0,alfa,11,93.034,93.052,93.052,4.0,1.0,5.925925925925926,0.4074074074074074,9.666666666666666,27,1,11.172413793103448,0,32.6,14.05,0.0,34.5
190,French Grand Prix,max_verstappen,233.0,1,7,396.0,1,8,red_bull,2,91.891,91.99,91.176,1.0,2.0,2.4827586206896552,0.896551724137931,3.333333333333333,29,1,4.871559633027523,0,32.6,14.05,0.0,34.5
191,French Grand Prix,sainz,13.0,15,0,59.0,5,0,williams,19,92.297,91.081,91.081,11.0,1.0,5.517241379310345,0.3448275862068966,12.0,29,1,5.517241379310345,0,32.6,14.05,0.0,34.5
192,French Grand Prix,ocon,23.0,10,0,29.0,9,0,haas,10,93.346,93.048,93.048,14.0,1.0,8.827586206896552,0.0344827586206896,10.0,29,1,8.848484848484848,1,32.6,14.05,0.0,34.5
193,French Grand Prix,stroll,20.0,12,0,36.0,8,0,aston_martin,15,93.439,93.439,93.439,10.0,1.0,11.366666666666667,0.0,11.5,30,1,9.892857142857142,0,32.6,14.05,0.0,34.5
