,race_name,driverRef,driverst_points,driverst_position,driverst_wins,css_points,css_position,css_wins,constructorRef,result_grid,q1,q2,q3,driver_circuit_avg_result_point_before_race,driver_circuit_avg_pitstops_before_race,driver_avg_finish_pos_prior,driver_podium_rate_prior,driver_avg_finish_last_3,driver_experience_races,driver_experience_at_circuit,constructor_avg_finish_prior,is_home_gp,avg_temp,avg_windspeed,avg_precip,avg_humidity
667,Qatar Grand Prix,stroll,20.0,12,0,36.0,8,0,aston_martin,16,86.345,86.345,86.345,6.0,1.0,10.72549019607843,0.0,11.5,51,1,9.8796992481203,0,34.5,13.15,0.0,57.5
679,United States Grand Prix,ricciardo,0.0,22,0,10.0,10,0,alphatauri,14,96.213,95.974,95.974,10.5,2.0,10.0,0.0238095238095238,12.666666666666666,42,2,14.5,0,26.7,18.1,0.0,67.0
691,United States Grand Prix,sargeant,1.0,20,0,26.0,7,0,williams,16,96.827,96.827,96.827,0.0,0.0,15.5,0.0,14.666666666666666,12,0,13.554621848739496,1,26.7,18.1,0.0,67.0
694,Mexico City Grand Prix,ricciardo,6.0,17,0,16.0,8,0,alphatauri,4,78.34100000000001,77.706,77.382,9.5,1.5,10.116279069767442,0.0232558139534883,14.666666666666666,43,2,14.666666666666666,0,16.95,14.05,0.0,61.0
704,Mexico City Grand Prix,albon,46.0,8,0,59.0,5,0,williams,14,78.828,79.14699999999999,79.14699999999999,12.0,1.0,11.9375,0.0,8.0,32,1,12.16326530612245,0,16.95,14.05,0.0,61.0
705,Mexico City Grand Prix,tsunoda,10.0,17,0,172.0,4,0,red_bull,18,78.89,78.89,78.89,0.0,0.0,12.48,0.0,16.0,50,0,11.36842105263158,0,16.95,14.05,0.0,61.0
708,Mexico City Grand Prix,sargeant,1.0,21,0,28.0,7,0,williams,19,,,,0.0,0.0,15.076923076923077,0.0,12.333333333333334,13,0,13.525,0,16.95,14.05,0.0,61.0
711,São Paulo Grand Prix,hulkenberg,37.0,9,0,41.0,6,0,sauber,11,70.475,70.547,70.547,0.0,0.0,14.15,0.0,6.0,20,0,14.11111111111111,0,17.0,19.35,0.0,81.5
713,São Paulo Grand Prix,ricciardo,6.0,17,0,21.0,8,0,alphatauri,17,70.843,70.843,70.843,0.0,0.0,10.045454545454543,0.0227272727272727,12.666666666666666,44,0,12.75,0,17.0,19.35,0.0,81.5
715,São Paulo Grand Prix,sainz,13.0,15,0,59.0,5,0,williams,7,70.624,70.254,71.989,4.5,3.5,5.363636363636363,0.2909090909090909,12.0,55,2,5.363636363636363,0,17.0,19.35,0.0,81.5
717,São Paulo Grand Prix,stroll,20.0,12,0,36.0,8,0,aston_martin,3,70.551,70.375,71.344,10.0,2.0,10.77777777777778,0.0,11.5,54,1,9.919117647058824,0,17.0,19.35,0.0,81.5
722,São Paulo Grand Prix,sargeant,1.0,21,0,28.0,7,0,williams,19,71.035,71.035,71.035,0.0,0.0,15.142857142857142,0.0,13.333333333333334,14,0,13.545454545454543,0,17.0,19.35,0.0,81.5
727,Las Vegas Grand Prix,ricciardo,6.0,17,0,21.0,8,0,alphatauri,14,94.683,94.308,94.308,0.0,0.0,10.11111111111111,0.0222222222222222,11.666666666666666,45,0,12.8,0,10.1,12.65,0.0,76.0
734,Las Vegas Grand Prix,gasly,19.0,13,0,19.0,10,0,alpine,4,94.272,93.494,93.239,0.0,0.0,9.789473684210526,0.0350877192982456,6.0,57,0,9.727272727272728,0,10.1,12.65,0.0,76.0
737,Las Vegas Grand Prix,albon,46.0,8,0,59.0,5,0,williams,5,94.634,93.588,93.323,0.0,0.0,11.848484848484848,0.0,8.0,33,0,12.1,0,10.1,12.65,0.0,76.0
741,Las Vegas Grand Prix,sargeant,1.0,21,0,28.0,7,0,williams,6,94.525,93.733,93.513,0.0,0.0,14.866666666666667,0.0,12.333333333333334,15,0,13.524590163934429,1,10.1,12.65,0.0,76.0
745,Abu Dhabi Grand Prix,perez,285.0,2,2,860.0,1,21,red_bull,9,84.209,84.116,84.17099999999999,9.0,2.5,5.033898305084746,0.423728813559322,3.6666666666666665,59,2,5.033898305084746,0,29.05,9.75,0.0,37.5
746,Abu Dhabi Grand Prix,ricciardo,6.0,17,0,25.0,8,0,alphatauri,15,84.461,84.44200000000001,84.44200000000001,10.5,1.5,10.195652173913045,0.0217391304347826,11.333333333333334,46,2,13.0,0,29.05,9.75,0.0,37.5
747,Abu Dhabi Grand Prix,bottas,10.0,15,0,16.0,9,0,alfa,18,84.788,84.788,84.788,10.5,1.0,9.471698113207546,0.2075471698113207,14.666666666666666,53,2,12.10909090909091,0,29.05,9.75,0.0,37.5
751,Abu Dhabi Grand Prix,ocon,23.0,10,0,29.0,9,0,haas,12,84.565,84.39099999999999,84.39099999999999,8.0,1.5,8.796296296296296,0.037037037037037,10.0,54,2,8.824175824175825,0,29.05,9.75,0.0,37.5
761,Abu Dhabi Grand Prix,sargeant,1.0,21,0,28.0,7,0,williams,20,,,,0.0,0.0,14.9375,0.0,14.333333333333334,16,0,13.544715447154472,0,29.05,9.75,0.0,37.5
762,Bahrain Grand Prix,hamilton,103.0,6,0,222.0,2,2,ferrari,9,90.451,89.718,89.71000000000001,3.0,2.333333333333333,4.338709677419355,0.5161290322580645,4.0,62,3,4.338709677419355,0,20.9,11.45,0.0,27.0
763,Bahrain Grand Prix,alonso,16.0,14,0,36.0,8,0,aston_martin,6,90.179,89.801,89.542,6.0,2.5,7.719298245614035,0.1578947368421052,10.0,57,2,5.6,0,20.9,11.45,0.0,27.0
764,Bahrain Grand Prix,hulkenberg,37.0,9,0,41.0,6,0,sauber,10,90.566,89.851,90.502,16.0,3.0,14.304347826086955,0.0,6.0,23,2,14.285714285714286,0,20.9,11.45,0.0,27.0
765,Bahrain Grand Prix,perez,18.0,2,0,44.0,1,1,red_bull,5,90.221,89.932,89.537,8.333333333333334,2.6666666666666665,5.016666666666667,0.4166666666666667,3.6666666666666665,60,3,5.016666666666667,0,20.9,11.45,0.0,27.0
766,Bahrain Grand Prix,ricciardo,0.0,13,0,0.0,8,0,rb,14,90.562,90.278,90.278,10.5,2.5,10.212765957446807,0.0212765957446808,12.666666666666666,47,2,,0,20.9,11.45,0.0,27.0
767,Bahrain Grand Prix,bottas,0.0,19,0,0.0,6,0,sauber,16,90.756,90.756,90.756,5.666666666666667,2.6666666666666665,9.648148148148149,0.2037037037037037,17.0,54,3,,0,20.9,11.45,0.0,27.0
768,Bahrain Grand Prix,kevin_magnussen,0.0,12,0,0.0,7,0,haas,15,90.646,90.529,90.529,9.0,3.0,14.02777777777778,0.0,15.666666666666666,36,2,13.192307692307692,0,20.9,11.45,0.0,27.0
769,Bahrain Grand Prix,max_verstappen,26.0,1,1,44.0,1,1,red_bull,1,90.031,89.374,89.179,7.333333333333333,2.333333333333333,1.967741935483871,0.9032258064516128,1.0,62,3,4.091549295774648,0,20.9,11.45,0.0,27.0
770,Bahrain Grand Prix,sainz,13.0,15,0,59.0,5,0,williams,4,89.90899999999999,89.57300000000001,89.507,4.666666666666667,2.333333333333333,5.603448275862069,0.2758620689655172,12.0,58,3,5.603448275862069,0,20.9,11.45,0.0,27.0
771,Bahrain Grand Prix,ocon,23.0,10,0,29.0,9,0,haas,19,90.793,90.793,90.793,10.0,2.5,8.854545454545455,0.0363636363636363,10.0,55,2,8.858695652173912,0,20.9,11.45,0.0,27.0
772,Bahrain Grand Prix,stroll,20.0,12,0,36.0,8,0,aston_martin,12,89.965,90.2,90.2,9.333333333333334,2.333333333333333,10.56140350877193,0.0,11.5,57,3,9.848920863309353,0,20.9,11.45,0.0,27.0
773,Bahrain Grand Prix,gasly,19.0,13,0,19.0,10,0,alpine,20,90.948,90.948,90.948,13.0,3.0,9.864406779661016,0.0338983050847457,6.0,59,2,9.761194029850746,0,20.9,11.45,0.0,27.0
774,Bahrain Grand Prix,leclerc,119.0,5,0,222.0,2,2,ferrari,2,90.243,89.16499999999999,89.407,3.5,2.5,4.964285714285714,0.3214285714285714,2.5,56,2,5.2,0,20.9,11.45,0.0,27.0
775,Bahrain Grand Prix,norris,226.0,2,4,460.0,1,5,mclaren,7,90.143,89.941,89.614,12.0,3.6666666666666665,7.274193548387097,0.1935483870967742,1.0,62,3,8.254901960784315,0,20.9,11.45,0.0,27.0
776,Bahrain Grand Prix,russell,147.0,4,1,210.0,3,2,mercedes,3,90.35,89.922,89.485,8.333333333333334,2.333333333333333,7.578947368421052,0.1929824561403508,7.5,57,3,4.971830985915493,0,20.9,11.45,0.0,27.0
777,Bahrain Grand Prix,albon,46.0,8,0,59.0,5,0,williams,13,90.397,90.221,90.221,11.5,3.0,11.914285714285716,0.0,8.0,35,2,12.134615384615383,0,20.9,11.45,0.0,27.0
778,Bahrain Grand Prix,tsunoda,10.0,17,0,172.0,4,0,red_bull,11,90.481,90.129,90.129,9.333333333333334,2.6666666666666665,12.425925925925926,0.0,16.0,54,3,12.75,0,20.9,11.45,0.0,27.0
779,Bahrain Grand Prix,zhou,0.0,11,0,0.0,6,0,sauber,17,90.757,90.757,90.757,13.0,3.0,13.166666666666666,0.0,15.333333333333334,36,2,15.545454545454543,0,20.9,11.45,0.0,27.0
780,Bahrain Grand Prix,piastri,234.0,1,7,460.0,1,5,mclaren,8,90.531,90.122,89.68299999999999,0.0,0.0,9.63157894736842,0.1052631578947368,2.333,19,0,7.779310344827586,0,20.9,11.45,0.0,27.0
781,Bahrain Grand Prix,sargeant,0.0,20,0,0.0,9,0,williams,18,90.77,90.77,90.77,12.0,3.0,15.0,0.0,14.333333333333334,17,1,13.564516129032258,0,20.9,11.45,0.0,27.0
782,Saudi Arabian Grand Prix,hamilton,103.0,6,0,222.0,2,2,ferrari,8,88.994,88.606,88.46000000000001,5.333333333333333,1.6666666666666667,4.380952380952381,0.5079365079365079,4.0,63,3,4.380952380952381,0,26.75,25.4,0.0,53.5
783,Saudi Arabian Grand Prix,alonso,16.0,14,0,36.0,8,0,aston_martin,4,88.706,88.122,87.846,8.0,2.5,7.741379310344827,0.1551724137931034,10.0,58,2,5.761904761904762,0,26.75,25.4,0.0,53.5
784,Saudi Arabian Grand Prix,hulkenberg,37.0,9,0,41.0,6,0,sauber,15,89.055,89.055,89.055,12.0,1.0,14.375,0.0,6.0,24,2,14.363636363636363,0,26.75,25.4,0.0,53.5
785,Saudi Arabian Grand Prix,perez,36.0,2,0,87.0,1,2,red_bull,3,88.638,88.467,87.807,2.5,1.0,4.967213114754099,0.4262295081967213,3.0,61,2,4.967213114754099,0,26.75,25.4,0.0,53.5
786,Saudi Arabian Grand Prix,ricciardo,0.0,16,0,0.0,9,0,rb,14,89.065,89.025,89.025,5.0,2.0,10.270833333333334,0.0208333333333333,12.666666666666666,48,1,13.0,0,26.75,25.4,0.0,53.5
787,Saudi Arabian Grand Prix,bottas,0.0,20,0,0.0,8,0,sauber,16,89.179,89.179,89.179,10.5,3.0,9.818181818181818,0.2,18.33333333333333,55,2,19.0,0,26.75,25.4,0.0,53.5
788,Saudi Arabian Grand Prix,kevin_magnussen,0.0,15,0,1.0,6,0,haas,13,89.069,89.02,89.02,9.5,1.0,13.972972972972974,0.0,15.0,37,2,13.177215189873415,0,26.75,25.4,0.0,53.5
789,Saudi Arabian Grand Prix,max_verstappen,51.0,1,2,87.0,1,2,red_bull,1,88.17099999999999,88.033,87.47200000000001,1.6666666666666667,1.3333333333333333,1.9523809523809523,0.9047619047619048,1.0,63,3,4.06993006993007,0,26.75,25.4,0.0,53.5
790,Saudi Arabian Grand Prix,ocon,23.0,10,0,29.0,9,0,haas,17,89.475,89.475,89.475,6.0,1.3333333333333333,9.0,0.0357142857142857,10.0,56,3,8.946236559139784,0,26.75,25.4,0.0,53.5
791,Saudi Arabian Grand Prix,leclerc,119.0,5,0,222.0,2,2,ferrari,2,88.318,88.112,87.791,5.333333333333333,1.6666666666666667,4.947368421052632,0.3157894736842105,2.5,57,3,5.191176470588236,0,26.75,25.4,0.0,53.5
792,Saudi Arabian Grand Prix,norris,226.0,2,4,460.0,1,5,mclaren,6,88.805,88.479,88.132,11.333333333333334,2.0,7.253968253968254,0.1904761904761904,1.0,63,3,8.233009708737864,0,26.75,25.4,0.0,53.5
793,Saudi Arabian Grand Prix,russell,147.0,4,1,210.0,3,2,mercedes,7,88.749,88.44800000000001,88.316,4.5,1.0,7.5344827586206895,0.1896551724137931,7.5,58,2,4.972027972027972,0,26.75,25.4,0.0,53.5
794,Saudi Arabian Grand Prix,albon,46.0,8,0,59.0,5,0,williams,12,89.107,88.98,88.98,14.0,1.0,12.0,0.0,8.0,36,1,12.18867924528302,0,26.75,25.4,0.0,53.5
795,Saudi Arabian Grand Prix,tsunoda,10.0,17,0,172.0,4,0,red_bull,9,88.988,88.564,88.547,12.5,2.0,12.454545454545457,0.0,16.0,55,2,12.823529411764708,0,26.75,25.4,0.0,53.5
796,Saudi Arabian Grand Prix,zhou,0.0,14,0,0.0,8,0,sauber,20,,,,12.0,2.0,13.108108108108109,0.0,14.333333333333334,37,2,15.347826086956522,0,26.75,25.4,0.0,53.5
797,Saudi Arabian Grand Prix,piastri,234.0,1,7,460.0,1,5,mclaren,5,88.755,88.343,88.089,15.0,1.0,9.55,0.1,2.333,20,1,7.780821917808219,0,26.75,25.4,0.0,53.5
798,Saudi Arabian Grand Prix,sargeant,0.0,19,0,0.0,7,0,williams,19,89.526,89.526,89.526,16.0,1.0,15.27777777777778,0.0,17.333333333333332,18,1,13.616,0,26.75,25.4,0.0,53.5
799,Saudi Arabian Grand Prix,bearman,6.0,18,0,29.0,9,0,haas,11,88.98400000000001,88.642,88.642,0.0,0.0,9.083404998214196,0.1760889227262577,7.0,0,0,5.012658227848101,0,26.75,25.4,0.0,53.5
800,Australian Grand Prix,alonso,16.0,14,0,36.0,8,0,aston_martin,10,76.991,76.71000000000001,77.55199999999999,10.0,2.5,7.694915254237288,0.1525423728813559,10.0,59,2,5.727272727272728,0,11.5,12.6,0.0,83.0
801,Australian Grand Prix,hulkenberg,37.0,9,0,41.0,6,0,sauber,16,77.976,77.976,77.976,7.0,3.0,14.2,0.0,6.0,25,1,14.173913043478262,0,11.5,12.6,0.0,83.0
802,Australian Grand Prix,perez,46.0,3,0,97.0,1,2,red_bull,6,76.805,76.631,76.274,3.5,3.0,4.919354838709677,0.4354838709677419,2.6666666666666665,62,2,4.919354838709677,0,11.5,12.6,0.0,83.0
803,Australian Grand Prix,ricciardo,0.0,17,0,6.0,6,0,rb,18,78.08500000000001,78.08500000000001,78.08500000000001,6.0,1.0,10.387755102040815,0.0204081632653061,13.333333333333334,49,1,14.5,1,11.5,12.6,0.0,83.0
804,Australian Grand Prix,bottas,0.0,20,0,0.0,9,0,sauber,13,77.543,77.34,77.34,9.5,3.5,9.946428571428571,0.1964285714285714,18.33333333333333,56,2,18.0,0,11.5,12.6,0.0,83.0
805,Australian Grand Prix,kevin_magnussen,1.0,14,0,4.0,7,0,haas,14,77.709,77.42699999999999,77.42699999999999,15.5,1.5,13.921052631578949,0.0,14.666666666666666,38,2,13.1625,0,11.5,12.6,0.0,83.0
806,Australian Grand Prix,sainz,13.0,15,0,59.0,5,0,williams,2,76.731,76.189,76.185,12.0,4.0,5.559322033898305,0.288135593220339,12.0,59,1,5.559322033898305,0,11.5,12.6,0.0,83.0
807,Australian Grand Prix,ocon,23.0,10,0,29.0,9,0,haas,15,77.617,77.697,77.697,10.5,2.0,9.070175438596491,0.0350877192982456,10.0,57,2,8.98936170212766,0,11.5,12.6,0.0,83.0
808,Australian Grand Prix,stroll,20.0,12,0,36.0,8,0,aston_martin,9,77.376,76.78,77.072,8.0,3.0,10.551724137931034,0.0,11.5,58,2,9.85,0,11.5,12.6,0.0,83.0
809,Australian Grand Prix,gasly,19.0,13,0,19.0,10,0,alpine,17,77.982,77.982,77.982,11.0,1.5,10.0,0.0333333333333333,6.0,60,2,9.822222222222225,0,11.5,12.6,0.0,83.0
810,Australian Grand Prix,leclerc,119.0,5,0,222.0,2,2,ferrari,4,76.98400000000001,76.304,76.435,1.0,1.0,4.913793103448276,0.3275862068965517,2.5,58,1,5.175182481751825,0,11.5,12.6,0.0,83.0
811,Australian Grand Prix,norris,226.0,2,4,460.0,1,5,mclaren,3,77.43,76.75,76.315,5.5,2.0,7.265625,0.1875,1.0,64,2,8.23076923076923,0,11.5,12.6,0.0,83.0
812,Australian Grand Prix,russell,147.0,4,1,210.0,3,2,mercedes,7,77.062,76.901,76.724,3.0,1.0,7.508474576271187,0.1864406779661017,7.5,59,1,4.979166666666667,0,11.5,12.6,0.0,83.0
813,Australian Grand Prix,albon,46.0,8,0,59.0,5,0,williams,12,77.13,77.167,77.167,10.0,1.0,11.972972972972974,0.0,8.0,37,1,12.166666666666666,0,11.5,12.6,0.0,83.0
814,Australian Grand Prix,tsunoda,10.0,17,0,172.0,4,0,red_bull,8,77.356,76.791,76.788,12.5,2.5,12.5,0.0,16.0,56,2,12.944444444444445,0,11.5,12.6,0.0,83.0
815,Australian Grand Prix,zhou,0.0,16,0,0.0,9,0,sauber,19,78.188,78.188,78.188,10.0,3.0,13.236842105263158,0.0,15.333333333333334,38,2,15.458333333333334,0,11.5,12.6,0.0,83.0
816,Australian Grand Prix,piastri,234.0,1,7,460.0,1,5,mclaren,5,77.369,76.601,76.572,8.0,4.0,9.285714285714286,0.0952380952380952,2.333,21,1,7.755102040816326,1,11.5,12.6,0.0,83.0
817,Japanese Grand Prix,hamilton,103.0,6,0,222.0,2,2,ferrari,7,89.661,88.887,88.76599999999999,5.0,2.0,4.453125,0.5,4.0,64,2,4.453125,0,11.1,4.8,0.0,88.5
818,Japanese Grand Prix,alonso,16.0,14,0,36.0,8,0,aston_martin,5,89.254,89.082,88.686,7.5,2.5,7.7,0.15,10.0,60,2,5.826086956521739,0,11.1,4.8,0.0,88.5
819,Japanese Grand Prix,hulkenberg,37.0,9,0,41.0,6,0,sauber,12,89.821,89.494,89.494,14.0,3.0,14.0,0.0,6.0,26,1,13.958333333333334,0,11.1,4.8,0.0,88.5
820,Japanese Grand Prix,perez,64.0,2,0,141.0,1,3,red_bull,2,89.303,88.752,88.263,2.0,2.0,4.920634920634921,0.4285714285714285,3.0,63,1,4.920634920634921,0,11.1,4.8,0.0,88.5
821,Japanese Grand Prix,bottas,0.0,20,0,0.0,9,0,sauber,13,89.602,89.593,89.593,15.0,2.0,10.017543859649123,0.1929824561403508,16.666666666666668,57,1,16.666666666666668,0,11.1,4.8,0.0,88.5
822,Japanese Grand Prix,kevin_magnussen,1.0,14,0,4.0,7,0,haas,18,90.131,90.131,90.131,14.5,2.0,13.82051282051282,0.0,11.333333333333334,39,2,13.123456790123456,0,11.1,4.8,0.0,88.5
823,Japanese Grand Prix,max_verstappen,77.0,1,3,141.0,1,3,red_bull,1,88.866,88.74,88.197,1.0,2.0,1.9375,0.90625,1.0,64,2,4.048611111111111,0,11.1,4.8,0.0,88.5
824,Japanese Grand Prix,sainz,13.0,15,0,59.0,5,0,williams,4,89.513,89.099,88.682,6.0,2.0,5.483333333333333,0.3,12.0,60,1,5.483333333333333,0,11.1,4.8,0.0,88.5
825,Japanese Grand Prix,ocon,23.0,10,0,29.0,9,0,haas,15,89.811,89.816,89.816,6.5,2.0,9.189655172413794,0.0344827586206896,10.0,58,2,9.06315789473684,0,11.1,4.8,0.0,88.5
826,Japanese Grand Prix,stroll,20.0,12,0,36.0,8,0,aston_martin,16,90.024,90.024,90.024,12.0,3.0,10.47457627118644,0.0,11.5,59,1,9.822695035460994,0,11.1,4.8,0.0,88.5
827,Japanese Grand Prix,gasly,19.0,13,0,19.0,10,0,alpine,17,90.119,90.119,90.119,14.0,3.0,10.049180327868852,0.0327868852459016,6.0,61,2,9.845588235294118,0,11.1,4.8,0.0,88.5
828,Japanese Grand Prix,leclerc,119.0,5,0,222.0,2,2,ferrari,8,89.338,89.196,88.786,3.5,2.0,4.864406779661017,0.3389830508474576,2.5,59,2,5.152173913043479,0,11.1,4.8,0.0,88.5
829,Japanese Grand Prix,norris,226.0,2,4,460.0,1,5,mclaren,3,89.536,88.94,88.489,6.0,2.0,7.2,0.2,1.0,65,2,8.18095238095238,0,11.1,4.8,0.0,88.5
830,Japanese Grand Prix,russell,147.0,4,1,210.0,3,2,mercedes,9,89.799,89.14,89.008,7.5,1.5,7.666666666666667,0.1833333333333333,7.5,60,2,5.062068965517241,0,11.1,4.8,0.0,88.5
831,Japanese Grand Prix,tsunoda,10.0,17,0,172.0,4,0,red_bull,10,89.775,89.417,89.413,12.5,2.5,12.403508771929824,0.0,16.0,57,2,12.63157894736842,1,11.1,4.8,0.0,88.5
832,Japanese Grand Prix,piastri,234.0,1,7,460.0,1,5,mclaren,6,89.425,89.148,88.76,3.0,2.0,9.045454545454543,0.0909090909090909,2.333,22,1,7.72972972972973,0,11.1,4.8,0.0,88.5
833,Japanese Grand Prix,sargeant,0.0,21,0,0.0,8,0,williams,19,90.139,90.139,90.139,0.0,0.0,15.210526315789474,0.0,16.666666666666668,19,0,13.61904761904762,0,11.1,4.8,0.0,88.5
834,Chinese Grand Prix,hamilton,103.0,6,0,222.0,2,2,ferrari,18,95.573,95.573,95.573,0.0,0.0,4.523076923076923,0.4923076923076923,4.0,65,0,4.523076923076923,0,13.8,10.9,0.05,89.5
835,Chinese Grand Prix,alonso,16.0,14,0,36.0,8,0,aston_martin,3,95.116,94.652,94.148,0.0,0.0,7.672131147540983,0.1475409836065573,10.0,61,0,5.833333333333333,0,13.8,10.9,0.05,89.5
836,Chinese Grand Prix,hulkenberg,37.0,9,0,41.0,6,0,sauber,9,95.068,94.667,94.604,0.0,0.0,13.88888888888889,0.0,6.0,27,0,13.84,0,13.8,10.9,0.05,89.5
837,Chinese Grand Prix,perez,85.0,2,0,195.0,1,4,red_bull,2,95.457,94.026,93.982,0.0,0.0,4.875,0.4375,3.0,64,0,4.875,0,13.8,10.9,0.05,89.5
838,Chinese Grand Prix,kevin_magnussen,1.0,14,0,5.0,7,0,haas,17,95.516,95.516,95.516,0.0,0.0,13.8,0.0,11.666666666666666,40,0,13.121951219512194,0,13.8,10.9,0.05,89.5
839,Chinese Grand Prix,max_verstappen,110.0,1,4,195.0,1,4,red_bull,1,94.742,93.794,93.66,0.0,0.0,1.9230769230769231,0.9076923076923076,1.0,65,0,4.027586206896552,0,13.8,10.9,0.05,89.5
840,Chinese Grand Prix,sainz,13.0,15,0,59.0,5,0,williams,7,94.97,94.368,94.297,0.0,0.0,5.442622950819672,0.3114754098360656,12.0,61,0,5.442622950819672,0,13.8,10.9,0.05,89.5
841,Chinese Grand Prix,ocon,23.0,10,0,29.0,9,0,haas,13,95.356,95.223,95.223,0.0,0.0,9.28813559322034,0.0338983050847457,10.0,59,0,9.125,0,13.8,10.9,0.05,89.5
842,Chinese Grand Prix,stroll,20.0,12,0,36.0,8,0,aston_martin,11,95.334,94.838,94.838,0.0,0.0,10.5,0.0,11.5,60,0,9.838028169014084,0,13.8,10.9,0.05,89.5
843,Chinese Grand Prix,gasly,19.0,13,0,19.0,10,0,alpine,15,95.287,95.463,95.463,0.0,0.0,10.14516129032258,0.032258064516129,6.0,62,0,9.89051094890511,0,13.8,10.9,0.05,89.5
844,Chinese Grand Prix,leclerc,119.0,5,0,222.0,2,2,ferrari,6,94.797,94.399,94.289,0.0,0.0,4.85,0.3333333333333333,2.5,60,0,5.143884892086331,0,13.8,10.9,0.05,89.5
845,Chinese Grand Prix,norris,226.0,2,4,460.0,1,5,mclaren,4,94.842,94.46,94.165,0.0,0.0,7.166666666666667,0.1969696969696969,1.0,66,0,8.150943396226415,0,13.8,10.9,0.05,89.5
846,Chinese Grand Prix,russell,147.0,4,1,210.0,3,2,mercedes,8,95.084,94.609,94.433,0.0,0.0,7.655737704918033,0.180327868852459,7.5,61,0,5.075342465753424,0,13.8,10.9,0.05,89.5
847,Chinese Grand Prix,albon,46.0,8,0,59.0,5,0,williams,14,95.384,95.241,95.241,0.0,0.0,11.947368421052632,0.0,8.0,38,0,12.145454545454545,0,13.8,10.9,0.05,89.5
848,Chinese Grand Prix,zhou,0.0,17,0,0.0,10,0,sauber,16,95.505,95.505,95.505,0.0,0.0,13.282051282051285,0.0,14.666666666666666,39,0,15.44,1,13.8,10.9,0.05,89.5
849,Chinese Grand Prix,piastri,234.0,1,7,460.0,1,5,mclaren,5,95.014,94.659,94.273,0.0,0.0,9.0,0.0869565217391304,2.333,23,0,7.731543624161074,0,13.8,10.9,0.05,89.5
850,Chinese Grand Prix,sargeant,0.0,21,0,0.0,8,0,williams,20,96.358,96.358,96.358,0.0,0.0,15.3,0.0,17.0,20,0,13.645669291338583,0,13.8,10.9,0.05,89.5
851,Miami Grand Prix,hamilton,103.0,6,0,222.0,2,2,ferrari,8,88.167,87.697,88.107,6.0,1.0,4.590909090909091,0.4848484848484848,4.0,66,2,4.590909090909091,0,24.6,10.85,0.0,72.5
852,Miami Grand Prix,alonso,16.0,14,0,36.0,8,0,aston_martin,15,88.453,88.42699999999999,88.42699999999999,7.0,1.0,7.661290322580645,0.1451612903225806,10.0,62,2,5.88,0,24.6,10.85,0.0,72.5
853,Miami Grand Prix,hulkenberg,37.0,9,0,41.0,6,0,sauber,9,88.383,88.2,88.146,15.0,1.0,13.75,0.0,6.0,28,1,13.692307692307692,0,24.6,10.85,0.0,72.5
854,Miami Grand Prix,perez,103.0,2,0,239.0,1,4,red_bull,4,87.77199999999999,87.839,87.46000000000001,3.0,1.5,4.846153846153846,0.4461538461538462,3.333333333333333,65,2,4.846153846153846,0,24.6,10.85,0.0,72.5
855,Miami Grand Prix,ricciardo,5.0,14,0,19.0,6,0,rb,20,88.617,88.617,88.617,13.0,2.0,10.42,0.02,13.666666666666666,50,1,13.666666666666666,0,24.6,10.85,0.0,72.5
856,Miami Grand Prix,bottas,0.0,20,0,0.0,10,0,sauber,16,88.463,88.463,88.463,10.0,1.0,10.086206896551724,0.1896551724137931,15.0,58,2,16.0,0,24.6,10.85,0.0,72.5
857,Miami Grand Prix,kevin_magnussen,1.0,16,0,7.0,7,0,haas,18,88.619,88.619,88.619,13.0,1.5,13.853658536585366,0.0,13.0,41,2,13.156626506024097,0,24.6,10.85,0.0,72.5
858,Miami Grand Prix,max_verstappen,136.0,1,4,239.0,1,4,red_bull,1,87.689,87.566,87.241,1.0,1.0,1.9090909090909087,0.9090909090909092,1.0,66,2,4.006849315068493,0,24.6,10.85,0.0,72.5
859,Miami Grand Prix,sainz,13.0,15,0,59.0,5,0,williams,3,87.937,87.941,87.455,4.0,1.0,5.435483870967742,0.3064516129032258,12.0,62,2,5.435483870967742,0,24.6,10.85,0.0,72.5
860,Miami Grand Prix,ocon,23.0,10,0,29.0,9,0,haas,13,88.209,88.371,88.371,8.5,1.0,9.316666666666666,0.0333333333333333,10.0,60,2,9.144329896907216,0,24.6,10.85,0.0,72.5
861,Miami Grand Prix,stroll,20.0,12,0,36.0,8,0,aston_martin,11,88.17699999999999,88.22200000000001,88.22200000000001,11.0,1.0,10.57377049180328,0.0,11.5,61,2,9.874125874125872,0,24.6,10.85,0.0,72.5
862,Miami Grand Prix,gasly,19.0,13,0,19.0,10,0,alpine,12,87.976,88.324,88.324,8.0,1.0,10.19047619047619,0.0317460317460317,6.0,63,1,9.91304347826087,0,24.6,10.85,0.0,72.5
863,Miami Grand Prix,leclerc,119.0,5,0,222.0,2,2,ferrari,2,88.081,87.533,87.382,4.5,1.0,4.836065573770492,0.3278688524590163,2.5,61,2,5.135714285714286,0,24.6,10.85,0.0,72.5
864,Miami Grand Prix,norris,226.0,2,4,460.0,1,5,mclaren,5,87.913,87.871,87.594,17.0,1.0,7.08955223880597,0.208955223880597,1.0,67,1,8.093457943925234,0,24.6,10.85,0.0,72.5
